start, stop
Tue Sep 15 10:59:55 2015,Tue Sep 15 11:00:02 2015
Tue Sep 15 11:00:25 2015,Tue Sep 15 11:00:32 2015
Tue Sep 15 11:00:55 2015,Tue Sep 15 11:01:02 2015
Tue Sep 15 11:01:25 2015,Tue Sep 15 11:01:33 2015
Tue Sep 15 11:01:55 2015,Tue Sep 15 11:02:02 2015
Tue Sep 15 11:02:25 2015,Tue Sep 15 11:02:33 2015
Tue Sep 15 11:02:55 2015,Tue Sep 15 11:03:04 2015
Tue Sep 15 11:03:25 2015,Tue Sep 15 11:03:32 2015
Tue Sep 15 11:03:55 2015,Tue Sep 15 11:04:02 2015
Tue Sep 15 11:04:25 2015,Tue Sep 15 11:04:38 2015
Tue Sep 15 11:04:55 2015,Tue Sep 15 11:05:04 2015
Tue Sep 15 11:05:25 2015,Tue Sep 15 11:05:33 2015
Tue Sep 15 11:05:55 2015,Tue Sep 15 11:06:05 2015
Tue Sep 15 11:06:25 2015,Tue Sep 15 11:06:32 2015
Tue Sep 15 11:06:55 2015,Tue Sep 15 11:07:02 2015
Tue Sep 15 11:07:25 2015,Tue Sep 15 11:07:32 2015
Tue Sep 15 11:07:55 2015,Tue Sep 15 11:08:02 2015
Tue Sep 15 11:08:25 2015,Tue Sep 15 11:08:32 2015
Tue Sep 15 11:08:55 2015,Tue Sep 15 11:09:08 2015
Tue Sep 15 11:38:58 2015,Tue Sep 15 11:39:11 2015
Tue Sep 15 11:39:11 2015,Tue Sep 15 11:39:17 2015
Tue Sep 15 11:39:17 2015,Tue Sep 15 11:39:21 2015
Tue Sep 15 11:39:21 2015,Tue Sep 15 11:39:29 2015
Tue Sep 15 11:39:29 2015,Tue Sep 15 11:39:36 2015
Tue Sep 15 11:39:36 2015,Tue Sep 15 11:39:43 2015
Tue Sep 15 11:39:43 2015,Tue Sep 15 11:39:50 2015
Tue Sep 15 11:39:50 2015,Tue Sep 15 11:39:57 2015
Tue Sep 15 11:39:57 2015,Tue Sep 15 11:40:01 2015
Tue Sep 15 11:40:01 2015,Tue Sep 15 11:40:06 2015
Tue Sep 15 11:40:06 2015,Tue Sep 15 11:40:13 2015
Tue Sep 15 11:40:13 2015,Tue Sep 15 11:40:17 2015
Tue Sep 15 11:40:17 2015,Tue Sep 15 11:40:22 2015
Tue Sep 15 11:40:22 2015,Tue Sep 15 11:40:29 2015
Tue Sep 15 11:40:29 2015,Tue Sep 15 11:40:34 2015
Tue Sep 15 11:40:34 2015,Tue Sep 15 11:40:38 2015
Tue Sep 15 11:40:38 2015,Tue Sep 15 11:40:42 2015
Tue Sep 15 11:40:42 2015,Tue Sep 15 11:40:49 2015
Tue Sep 15 11:40:49 2015,Tue Sep 15 11:40:57 2015
Tue Sep 15 11:40:57 2015,Tue Sep 15 11:41:04 2015
Tue Sep 15 11:41:04 2015,Tue Sep 15 11:41:10 2015
Tue Sep 15 11:41:10 2015,Tue Sep 15 11:41:14 2015
Tue Sep 15 11:41:14 2015,Tue Sep 15 11:41:23 2015
Tue Sep 15 11:41:23 2015,Tue Sep 15 11:41:55 2015
Tue Sep 15 11:41:55 2015,Tue Sep 15 11:42:03 2015
Tue Sep 15 11:42:03 2015,Tue Sep 15 11:42:07 2015
Tue Sep 15 11:42:08 2015,Tue Sep 15 11:42:12 2015
Tue Sep 15 11:42:12 2015,Tue Sep 15 11:42:19 2015
Tue Sep 15 11:42:19 2015,Tue Sep 15 11:42:26 2015
